stt,bai,chu_de,url,sheet
7,3.7,Reparatur einer Waschmaschine,https://deutsch-vorbereitung.com/en/uebung-4173.html,Horen
8,3.8,Yogakurse,https://deutsch-vorbereitung.com/en/uebung-4172.html,Horen
9,3.9,Termin beim Zahnarzt,https://deutsch-vorbereitung.com/en/uebung-4171.html,Horen
10,3.10,Fitnessstudio,https://deutsch-vorbereitung.com/en/uebung-4170.html,Horen
11,3.11,Öffnungszeiten Schwimmbads,https://deutsch-vorbereitung.com/en/uebung-4169.html,Horen
12,3.12,Bücherei,https://deutsch-vorbereitung.com/en/uebung-4168.html,Horen
13,3.13,Waschmaschine,https://deutsch-vorbereitung.com/en/uebung-4167.html,Horen
14,3.14,Fahrkarten,https://deutsch-vorbereitung.com/en/uebung-4166.html,Horen
15,3.15,Kopfschmerztabletten,https://deutsch-vorbereitung.com/en/uebung-4165.html,Horen
16,3.16,Telefonat zwischen Hassan und John,https://deutsch-vorbereitung.com/en/uebung-4164.html,Horen
17,3.17,Im Elektronikgeschäft,https://deutsch-vorbereitung.com/en/uebung-4055.html,Horen
18,3.18,Nachhilfeunterricht,https://deutsch-vorbereitung.com/en/uebung-3988.html,Horen
19,3.19,Auf dem Parkplatz,https://deutsch-vorbereitung.com/en/uebung-3987.html,Horen
20,3.20,Beim Schuster (Schuhreparatur),https://deutsch-vorbereitung.com/en/uebung-3985.html,Horen
21,3.21,In der Reinigung,https://deutsch-vorbereitung.com/en/uebung-3984.html,Horen
22,3.22,Im Cafe,https://deutsch-vorbereitung.com/en/uebung-3979.html,Horen
23,3.23,Beim Arzt,https://deutsch-vorbereitung.com/en/uebung-3978.html,Horen
24,3.24,Auf der Post,https://deutsch-vorbereitung.com/en/uebung-3977.html,Horen
25,3.25,Beim Friseur,https://deutsch-vorbereitung.com/en/uebung-3974.html,Horen
26,3.26,Beim Nachbarn,https://deutsch-vorbereitung.com/en/uebung-3972.html,Horen
27,3.27,Im Fitnessstudio,https://deutsch-vorbereitung.com/en/uebung-3971.html,Horen
28,3.28,Auf der Arbeit,https://deutsch-vorbereitung.com/en/uebung-3969.html,Horen
29,3.29,In der Schule,https://deutsch-vorbereitung.com/en/uebung-3968.html,Horen
30,3.30,In der Apotheke,https://deutsch-vorbereitung.com/en/uebung-3966.html,Horen
31,3.31,Software-Updates,https://deutsch-vorbereitung.com/en/uebung-1073.html,Horen
1,4.1,Leben in der Stadt und auf dem Land,https://deutsch-vorbereitung.com/en/uebung-14226.html,Horen
2,4.2,Kinderbetreuung,https://deutsch-vorbereitung.com/en/uebung-12874.html,Horen
3,4.3,Wie stehen Sie zum Thema berufliche Weiterbildung?,https://deutsch-vorbereitung.com/en/uebung-2840.html,Horen
4,4.4,Wie stehen Sie zu gesunder Ernährung?,https://deutsch-vorbereitung.com/en/uebung-2839.html,Horen
5,4.5,Wie stehen Sie zu sozialen Medien?,https://deutsch-vorbereitung.com/en/uebung-2838.html,Horen
6,4.6,Wie wichtig ist Ihnen das Thema Nachhaltigkeit?,https://deutsch-vorbereitung.com/en/uebung-2837.html,Horen
7,4.7,Wie wichtig ist Ihnen eine ausgewogene Work-Life-Balance?,https://deutsch-vorbereitung.com/en/uebung-2836.html,Horen
8,4.8,Wie gehen Sie mit Stress um?,https://deutsch-vorbereitung.com/en/uebung-2834.html,Horen
9,4.9,Wie verbringen Sie Ihre Abende nach der Arbeit?,https://deutsch-vorbereitung.com/en/uebung-2833.html,Horen
10,4.10,Wie nutzen Sie die modernen Technologien in Ihrem Alltag?,https://deutsch-vorbereitung.com/en/uebung-2831.html,Horen
11,4.11,Wie wichtig ist Ihnen gesunde Ernährung?,https://deutsch-vorbereitung.com/en/uebung-2830.html,Horen
12,4.12,Wie verbringen Sie Ihre Freizeit?,https://deutsch-vorbereitung.com/en/uebung-2829.html,Horen
13,4.13,Wie wichtig ist Ihnen Umweltschutz?,https://deutsch-vorbereitung.com/en/uebung-2828.html,Horen
14,4.14,Arbeiten Sie lieber im Büro oder im Homeoffice?,https://deutsch-vorbereitung.com/en/uebung-2827.html,Horen
15,4.15,Wohin reisen Sie am liebsten?,https://deutsch-vorbereitung.com/en/uebung-2826.html,Horen
16,4.16,Freizeit,https://deutsch-vorbereitung.com/en/uebung-2825.html,Horen
17,4.17,Gesundheitsversorgung,https://deutsch-vorbereitung.com/en/uebung-1657.html,Horen
18,4.18,Radiosendung - Meinungen zu Lebensstilen (Fortsetzung),https://deutsch-vorbereitung.com/en/uebung-1594.html,Horen
19,4.19,Den ganzen Tag Schule,https://deutsch-vorbereitung.com/en/uebung-1428.html,Horen
20,4.20,Umweltschutz 2,https://deutsch-vorbereitung.com/en/uebung-1244.html,Horen
21,4.21,digitale Medien,https://deutsch-vorbereitung.com/en/uebung-1243.html,Horen
22,4.22,Gesunde Ernährung,https://deutsch-vorbereitung.com/en/uebung-1242.html,Horen
23,4.23,kulturelle Vielfalt,https://deutsch-vorbereitung.com/en/uebung-1241.html,Horen
24,4.24,Technologie und Innovation,https://deutsch-vorbereitung.com/en/uebung-1239.html,Horen
25,4.25,Technologische Entwicklungen und deren Einfluss auf die Gesellschaft,https://deutsch-vorbereitung.com/en/uebung-1238.html,Horen
26,4.26,Ernährungsgewohnheiten und Gesundheit,https://deutsch-vorbereitung.com/en/uebung-1237.html,Horen
27,4.27,Arbeitswelt der Zukunft – Remote Work und flexible Arbeitsmodelle,https://deutsch-vorbereitung.com/en/uebung-1236.html,Horen
28,4.28,Reisen und Tourismus nach der Pandemie,https://deutsch-vorbereitung.com/en/uebung-1235.html,Horen
29,4.29,Digitalisierung in der Bildung,https://deutsch-vorbereitung.com/en/uebung-1233.html,Horen
30,4.30,Erfahrungen im Homeoffice,https://deutsch-vorbereitung.com/en/uebung-1232.html,Horen
31,4.31,Zukunft der Arbeit nach der COVID-19-Pandemie,https://deutsch-vorbereitung.com/en/uebung-1231.html,Horen
